NOMBRE,ALCALDIA,SISTEMA,LINEA,AÑO,lng,lat
Indios Verdes,Gustavo A. Madero,STE Cablebús,01,2021,-99.12225900033626,19.495443999662115
Ticomán,Gustavo A. Madero,STE Cablebús,01,2021,-99.1338047133424,19.511671356546294
La Pastora,Gustavo A. Madero,STE Cablebús,01,2021,-99.14079744101525,19.527354446389428
Campos Revolución,Gustavo A. Madero,STE Cablebús,01,2021,-99.14195900037984,19.540266000151348
Cuautepec,Gustavo A. Madero,STE Cablebús,01,2021,-99.13415747649749,19.557946283957488
Tlalpexco,Gustavo A. Madero,STE Cablebús,01,2021,-99.12642699984082,19.544771000160353
Constitución de 1917,Iztapalapa,STE Cablebús,02,2021,-99.06250524253875,19.344856834641984
Quetzacóatl,Iztapalapa,STE Cablebús,02,2021,-99.04344925743749,19.32782696405455
Las Torres Buenavista,Iztapalapa,STE Cablebús,02,2021,-99.03082648821561,19.33178789868367
Xalpa,Iztapalapa,STE Cablebús,02,2021,-99.01900287653105,19.336172632577053
Lomas de la Estancia,Iztapalapa,STE Cablebús,02,2021,-99.00811167830166,19.3408276793568
San Miguel Teotongo,Iztapalapa,STE Cablebús,02,2021,-98.98954879528337,19.34352581357915
Santa Marta,Iztapalapa,STE Cablebús,02,2021,-98.99398220131738,19.359516982647573
