AÑO,ALCALDIA,POBLACION,MEAN_DIST,EST_TOTAL,ZOC_DIST
1969,Azcapotzalco,527857,2019.077357,0,2028.311034
1970,Azcapotzalco,534554,1050.162982,0,2028.311034
1971,Azcapotzalco,541251,1050.162982,0,2028.311034
1972,Azcapotzalco,547948,958.8663803,0,2028.311034
1973,Azcapotzalco,554645,958.8663803,0,2028.311034
1974,Azcapotzalco,561342,958.8663803,0,2028.311034
1975,Azcapotzalco,568039,958.8663803,0,2028.311034
1976,Azcapotzalco,574736,958.8663803,0,2028.311034
1977,Azcapotzalco,581433,958.8663803,0,2028.311034
1978,Azcapotzalco,588130,958.8663803,0,2028.311034
1979,Azcapotzalco,594827,958.8663803,0,2028.311034
1980,Azcapotzalco,601524,958.8663803,0,2028.311034
1981,Azcapotzalco,588840.4,958.8663803,0,2028.311034
1982,Azcapotzalco,576156.8,952.839362,0,2028.311034
1983,Azcapotzalco,563473.2,472.8019473,6,2028.311034
1984,Azcapotzalco,550789.6,375.3765679,6,2028.311034
1985,Azcapotzalco,538106,375.3765679,6,2028.311034
1986,Azcapotzalco,525422.4,375.3765679,6,2028.311034
1987,Azcapotzalco,512738.8,375.3765679,6,2028.311034
1988,Azcapotzalco,500055.2,357.2576964,10,2028.311034
1989,Azcapotzalco,487371.6,357.2576964,10,2028.311034
1990,Azcapotzalco,474688,357.2576964,10,2028.311034
1991,Azcapotzalco,470776.6,357.2576964,10,2028.311034
1992,Azcapotzalco,466865.2,357.2576964,10,2028.311034
1993,Azcapotzalco,462953.8,357.2576964,10,2028.311034
1994,Azcapotzalco,459042.4,357.2576964,10,2028.311034
1995,Azcapotzalco,455131,357.2576964,10,2028.311034
1996,Azcapotzalco,452306.4,357.2576964,10,2028.311034
1997,Azcapotzalco,449481.8,357.2576964,10,2028.311034
1998,Azcapotzalco,446657.2,357.2576964,10,2028.311034
1999,Azcapotzalco,443832.6,355.7107644,10,2028.311034
2000,Azcapotzalco,441008,355.7107644,10,2028.311034
2001,Azcapotzalco,437866,355.7107644,10,2028.311034
2002,Azcapotzalco,434724,355.7107644,10,2028.311034
2003,Azcapotzalco,431582,355.7107644,10,2028.311034
2004,Azcapotzalco,428440,355.7107644,10,2028.311034
2005,Azcapotzalco,425298,348.0738948,10,2028.311034
2006,Azcapotzalco,423180.6,348.0738948,10,2028.311034
2007,Azcapotzalco,421063.2,348.0738948,10,2028.311034
2008,Azcapotzalco,418945.8,348.0738948,10,2028.311034
2009,Azcapotzalco,416828.4,348.0738948,10,2028.311034
2010,Azcapotzalco,414711,348.0738948,10,2028.311034
2011,Azcapotzalco,411801,340.8117859,16,2028.311034
2012,Azcapotzalco,408891,340.8117859,16,2028.311034
2013,Azcapotzalco,405981,340.8117859,16,2028.311034
2014,Azcapotzalco,403071,340.8117859,16,2028.311034
2015,Azcapotzalco,400161,340.8117859,16,2028.311034
2016,Azcapotzalco,406569.8,323.3697531,24,2028.311034
2017,Azcapotzalco,412978.6,323.3697531,24,2028.311034
2018,Azcapotzalco,419387.4,323.3697531,24,2028.311034
2019,Azcapotzalco,425796.2,323.3697531,24,2028.311034
2020,Azcapotzalco,432205,323.3697531,24,2028.311034
2021,Azcapotzalco,438613.8,323.3697531,24,2028.311034
1969,Coyoacán,313677.7,1765.756453,0,2981.405202
1970,Coyoacán,339446,1338.307013,2,2981.405202
1971,Coyoacán,365214.3,1338.307013,2,2981.405202
1972,Coyoacán,390982.6,1335.16632,2,2981.405202
1973,Coyoacán,416750.9,1335.16632,2,2981.405202
1974,Coyoacán,442519.2,1335.16632,2,2981.405202
1975,Coyoacán,468287.5,1335.16632,2,2981.405202
1976,Coyoacán,494055.8,1335.16632,2,2981.405202
1977,Coyoacán,519824.1,1335.16632,2,2981.405202
1978,Coyoacán,545592.4,1335.16632,2,2981.405202
1979,Coyoacán,571360.7,1335.16632,2,2981.405202
1980,Coyoacán,597129,1132.418776,2,2981.405202
1981,Coyoacán,601422.7,1130.944626,2,2981.405202
1982,Coyoacán,605716.4,1065.114069,2,2981.405202
1983,Coyoacán,610010.1,968.8583765,5,2981.405202
1984,Coyoacán,614303.8,968.8583765,5,2981.405202
1985,Coyoacán,618597.5,964.7424307,5,2981.405202
1986,Coyoacán,622891.2,964.7424307,5,2981.405202
1987,Coyoacán,627184.9,936.2829171,5,2981.405202
1988,Coyoacán,631478.6,936.2829171,5,2981.405202
1989,Coyoacán,635772.3,936.2829171,5,2981.405202
1990,Coyoacán,640066,936.2829171,5,2981.405202
1991,Coyoacán,642750.6,936.2829171,5,2981.405202
1992,Coyoacán,645435.2,936.2829171,5,2981.405202
1993,Coyoacán,648119.8,936.2829171,5,2981.405202
1994,Coyoacán,650804.4,821.9269906,5,2981.405202
1995,Coyoacán,653489,821.9269906,5,2981.405202
1996,Coyoacán,650875.8,821.9269906,5,2981.405202
1997,Coyoacán,648262.6,821.9269906,5,2981.405202
1998,Coyoacán,645649.4,821.9269906,5,2981.405202
1999,Coyoacán,643036.2,821.9269906,5,2981.405202
2000,Coyoacán,640423,821.9269906,5,2981.405202
2001,Coyoacán,637951,821.9269906,5,2981.405202
2002,Coyoacán,635479,821.9269906,5,2981.405202
2003,Coyoacán,633007,821.9269906,5,2981.405202
2004,Coyoacán,630535,821.9269906,5,2981.405202
2005,Coyoacán,628063,816.8822252,5,2981.405202
2006,Coyoacán,626533.6,816.8822252,5,2981.405202
2007,Coyoacán,625004.2,816.8822252,5,2981.405202
2008,Coyoacán,623474.8,792.5066053,8,2981.405202
2009,Coyoacán,621945.4,792.5066053,8,2981.405202
2010,Coyoacán,620416,792.5066053,8,2981.405202
2011,Coyoacán,618028.6,792.5066053,8,2981.405202
2012,Coyoacán,615641.2,603.1566447,9,2981.405202
2013,Coyoacán,613253.8,603.1566447,9,2981.405202
2014,Coyoacán,610866.4,603.1566447,9,2981.405202
2015,Coyoacán,608479,603.1566447,9,2981.405202
2016,Coyoacán,609672.6,603.1566447,9,2981.405202
2017,Coyoacán,610866.2,603.1566447,9,2981.405202
2018,Coyoacán,612059.8,603.1566447,9,2981.405202
2019,Coyoacán,613253.4,603.1566447,9,2981.405202
2020,Coyoacán,614447,547.7367576,15,2981.405202
2021,Coyoacán,615640.6,541.2143693,16,2981.405202
1969,Gustavo A. Madero,1.15E+06,1627.645248,0,4260.385715
1970,Gustavo A. Madero,1.19E+06,1509.603393,0,4260.385715
1971,Gustavo A. Madero,1.22E+06,1509.603393,0,4260.385715
1972,Gustavo A. Madero,1.25E+06,1509.603393,0,4260.385715
1973,Gustavo A. Madero,1.28E+06,1509.603393,0,4260.385715
1974,Gustavo A. Madero,1.32E+06,1509.603393,0,4260.385715
1975,Gustavo A. Madero,1.35E+06,1509.603393,0,4260.385715
1976,Gustavo A. Madero,1.38E+06,1509.603393,0,4260.385715
1977,Gustavo A. Madero,1.42E+06,1509.603393,0,4260.385715
1978,Gustavo A. Madero,1.45E+06,1430.123049,1,4260.385715
1979,Gustavo A. Madero,1.48E+06,1266.345724,4,4260.385715
1980,Gustavo A. Madero,1.51E+06,1266.345724,4,4260.385715
1981,Gustavo A. Madero,1.49E+06,988.2699693,10,4260.385715
1982,Gustavo A. Madero,1.47E+06,869.4582727,16,4260.385715
1983,Gustavo A. Madero,1.44E+06,841.1417573,17,4260.385715
1984,Gustavo A. Madero,1.42E+06,840.4663149,17,4260.385715
1985,Gustavo A. Madero,1.40E+06,840.4663149,17,4260.385715
1986,Gustavo A. Madero,1.37E+06,812.1260027,21,4260.385715
1987,Gustavo A. Madero,1.35E+06,794.6570502,21,4260.385715
1988,Gustavo A. Madero,1.33E+06,794.6570502,21,4260.385715
1989,Gustavo A. Madero,1.30E+06,794.6570502,21,4260.385715
1990,Gustavo A. Madero,1.28E+06,794.6570502,21,4260.385715
1991,Gustavo A. Madero,1.27E+06,762.4563965,21,4260.385715
1992,Gustavo A. Madero,1.27E+06,762.4563965,21,4260.385715
1993,Gustavo A. Madero,1.27E+06,762.4563965,21,4260.385715
1994,Gustavo A. Madero,1.26E+06,762.4563965,21,4260.385715
1995,Gustavo A. Madero,1.26E+06,762.4563965,21,4260.385715
1996,Gustavo A. Madero,1.25E+06,762.4563965,21,4260.385715
1997,Gustavo A. Madero,1.25E+06,762.4563965,21,4260.385715
1998,Gustavo A. Madero,1.24E+06,762.4563965,21,4260.385715
1999,Gustavo A. Madero,1.24E+06,641.6309288,24,4260.385715
2000,Gustavo A. Madero,1.24E+06,633.7863117,24,4260.385715
2001,Gustavo A. Madero,1.23E+06,633.7863117,24,4260.385715
2002,Gustavo A. Madero,1.22E+06,633.7863117,24,4260.385715
2003,Gustavo A. Madero,1.21E+06,633.7863117,24,4260.385715
2004,Gustavo A. Madero,1.20E+06,633.7863117,24,4260.385715
2005,Gustavo A. Madero,1.19E+06,631.0137439,29,4260.385715
