NOMBRE,ALCALDIA,SISTEMA,LINEA,AÑO,lng,lat
Indios Verdes,Gustavo A. Madero,Metrobus,01,2005,487437.69770000037,2.1558053839999996e6
Deportivo 18 de Marzo,Gustavo A. Madero,Metrobus,01,2005,486931.58829999994,2.1546400164e6
Eúzkaro,Gustavo A. Madero,Metrobus,01,2005,486605.90670000017,2.1542235021e6
Potrero,Gustavo A. Madero,Metrobus,01,2005,486097.9001000002,2.1535731721e6
La Raza,Gustavo A. Madero,Metrobus,01,2005,485413.10170000046,2.1526952962999996e6
Circuito,Cuauhtémoc,Metrobus,01,2005,484885.66779999994,2.152022149599999e6
San Simón,Cuauhtémoc,Metrobus,01,2005,484631.6480999999,2.151692590500001e6
Manuel González,Cuauhtémoc,Metrobus,01,2005,484320.2567999996,2.1513722974999994e6
Buenavista,Cuauhtémoc,Metrobus,01,2005,483926.5071999999,2.150277437000001e6
El Chopo,Cuauhtémoc,Metrobus,01,2005,483791.7547000004,2.1498910590000004e6
Revolución,Cuauhtémoc,Metrobus,01,2005,483686.56659999955,2.1495600457000006e6
Plaza de la República,Cuauhtémoc,Metrobus,01,2005,483485.80989999976,2.1490836632000003e6
Reforma,Cuauhtémoc,Metrobus,01,2005,483338.9709999999,2.1487355863000005e6
Hamburgo,Cuauhtémoc,Metrobus,01,2005,483073.7818,2.1481411045999993e6
Insurgentes,Cuauhtémoc,Metrobus,01,2005,482900.3373999996,2.1477203556999993e6
Durango,Cuauhtémoc,Metrobus,01,2005,482776.92030000035,2.147301342599999e6
Álvaro Obregón,Cuauhtémoc,Metrobus,01,2005,482671.5588999996,2.1469272402999997e6
Sonora,Cuauhtémoc,Metrobus,01,2005,482559.04229999986,2.1465645089999996e6
Campeche,Cuauhtémoc,Metrobus,01,2005,482438.8360000001,2.146176988e6
Chilpancingo,Cuauhtémoc,Metrobus,01,2005,482329.37880000006,2.1458241196e6
Nuevo León,Cuauhtémoc,Metrobus,01,2005,482173.6020999998,2.1453223882e6
La Piedad,Benito Juárez,Metrobus,01,2005,482033.7904000003,2.1448718534999993e6
Polifórum,Benito Juárez,Metrobus,01,2005,481874.32629999984,2.144355137e6
Nápoles,Benito Juárez,Metrobus,01,2005,481751.1372999996,2.1439559636000004e6
Colonia del Valle,Benito Juárez,Metrobus,01,2005,481614.4298999999,2.1435129864000008e6
Ciudad de los Deportes,Benito Juárez,Metrobus,01,2005,481504.0094999997,2.1431551876999997e6
Parque Hundido,Benito Juárez,Metrobus,01,2005,481406.2121000001,2.1428382916e6
Félix Cuevas,Benito Juárez,Metrobus,01,2005,481224.1317999996,2.1422482908999994e6
Río Churubusco,Benito Juárez,Metrobus,01,2005,481037.2812999999,2.1416428333e6
Teatro de los Insurgentes,Benito Juárez,Metrobus,01,2005,480904.99629999977,2.141216598099999e6
José María Velasco,Benito Juárez,Metrobus,01,2005,480797.0258999998,2.1408662304e6
Francia,Álvaro Obregón,Metrobus,01,2005,480685.1303000003,2.1405031251e6
Olivo,Álvaro Obregón,Metrobus,01,2005,480553.91089999955,2.1400773135e6
Altavista,Álvaro Obregón,Metrobus,01,2005,480427.4622999998,2.1396654749e6
La Bombilla,Álvaro Obregón,Metrobus,01,2005,480283.1029000003,2.1392135780999996e6
Doctor Gálvez,Álvaro Obregón,Metrobus,01,2005,480039.6615000004,2.1385376130999997e6
Ciudad Universitaria,Coyoacán,Metrobus,01,2008,480201.7965000002,2.136572265900001e6
Centro Cultural Universitario,Coyoacán,Metrobus,01,2008,480300.23670000024,2.1357107095999997e6
Perisur,Coyoacán,Metrobus,01,2008,480446.0206000004,2.1344875660999995e6
Villa Olímpica,Tlalpan,Metrobus,01,2008,480509.7095999997,2.1339322607000005e6
Corregidora,Tlalpan,Metrobus,01,2008,480980.1255999999,2.1333761049000006e6
Ayuntamiento,Tlalpan,Metrobus,01,2008,481347.16170000006,2.1332125559e6
Fuentes Brotantes,Tlalpan,Metrobus,01,2008,481655.45969999954,2.1327152086999994e6
Santa Úrsula,Tlalpan,Metrobus,01,2008,481581.00289999973,2.1321796382e6
La Joya,Tlalpan,Metrobus,01,2008,482138.4530999996,2.1318536977999993e6
El Caminero,Tlalpan,Metrobus,01,2008,482234.4776999997,2.1317420270000007e6
Tacubaya,Miguel Hidalgo,Metrobus,02,2008,480365.1732000001,2.145318900699999e6
Parque Lira,Miguel Hidalgo,Metrobus,02,2008,480145.7441999996,2.1459607533e6
Antonio Maceo,Miguel Hidalgo,Metrobus,02,2008,480481.73539999966,2.1456374409999996e6
De la Salle,Miguel Hidalgo,Metrobus,02,2008,480733.20050000027,2.1459375868999995e6
Patriotismo,Cuauhtémoc,Metrobus,02,2008,481377.341,2.1457130852000006e6
Escandón,Cuauhtémoc,Metrobus,02,2008,481749.1571000004,2.1455846905000005e6
Nuevo León,Cuauhtémoc,Metrobus,02,2008,482108.2363999998,2.1454837288000006e6
Viaducto,Benito Juárez,Metrobus,02,2008,482351.0190000003,2.145241588300001e6
Amores,Benito Juárez,Metrobus,02,2008,482799.6802000003,2.144750279100001e6
Etiopía,Benito Juárez,Metrobus,02,2008,483725.0544999996,2.1446346522000004e6
Doctor Vértiz,Benito Juárez,Metrobus,02,2008,484070.88150000013,2.1446084990999997e6
Centro SCOP,Benito Juárez,Metrobus,02,2008,484590.80229999963,2.144568266899999e6
Álamos,Benito Juárez,Metrobus,02,2008,484991.10649999976,2.1445131645e6
Xola,Benito Juárez,Metrobus,02,2008,485273.6699000001,2.144469994000001e6
Las Américas,Benito Juárez,Metrobus,02,2008,485893.33019999973,2.1443692942999993e6
Andrés Molina,Iztacalco,Metrobus,02,2008,486381.8251,2.1448356520000007e6
La Viga,Iztacalco,Metrobus,02,2008,486921.3121999996,2.1448780976e6
Coyuya,Iztacalco,Metrobus,02,2008,487738.21279999986,2.1449017332000006e6
Metro Coyuya,Iztacalco,Metrobus,02,2008,488086.5007999996,2.1449065942e6
Canela,Iztacalco,Metrobus,02,2008,488519.8328,2.1448531171000004e6
Tlacotal,Iztacalco,Metrobus,02,2008,489089.5800000001,2.1447831005000006e6
Goma,Iztacalco,Metrobus,02,2008,489499.4556999998,2.1447465271000005e6
Iztacalco,Iztacalco,Metrobus,02,2008,489924.63850000035,2.1447082563000005e6
UPIICSA,Iztacalco,Metrobus,02,2008,490508.8471999997,2.1444189119000006e6
El Rodeo,Iztacalco,Metrobus,02,2008,490856.46740000043,2.1441671413000003e6
Río Tecolutla,Iztapalapa,Metrobus,02,2008,491269.0076000001,2.1438787019999996e6
Río Mayo,Iztapalapa,Metrobus,02,2008,491597.1864,2.1436467693000007e6
Rojo Gómez,Iztapalapa,Metrobus,02,2008,491981.07270000037,2.1433751799999997e6
Río Frío,Iztacalco,Metrobus,02,2008,492200.2167999996,2.1437202607000005e6
Del Moral,Iztapalapa,Metrobus,02,2008,492552.9479,2.1433404382000007e6
Leyes de Reforma,Iztapalapa,Metrobus,02,2008,493088.51439999975,2.1432597797e6
CCH Oriente,Iztacalco,Metrobus,02,2008,493616.45749999955,2.1432437413999997e6
Constitución de Apatzingán,Iztapalapa,Metrobus,02,2008,493715.7636000002,2.143874895300001e6
Canal de San Juan,Iztapalapa,Metrobus,02,2008,494062.62509999983,2.1447245921e6
General Antonio de León,Iztapalapa,Metrobus,02,2008,494567.6787999999,2.1434707488e6
Nicolás Bravo,Iztapalapa,Metrobus,02,2008,494652.8398000002,2.1443685709000006e6
Tepalcates,Iztapalapa,Metrobus,02,2008,495000.5931000002,2.144066660599999e6
Tenayuca,Gustavo A. Madero,Metrobus,03,2011,482153.07320000045,2.1593282931999993e6
San José de la Escalera,Gustavo A. Madero,Metrobus,03,2011,482630.4294999996,2.1586751613e6
Progreso Nacional,Gustavo A. Madero,Metrobus,03,2011,482817.21609999985,2.1583396614999995e6
Tres Anegas,Gustavo A. Madero,Metrobus,03,2011,483009.7402999997,2.1578766114000008e6
Júpiter,EDOMX,Metrobus,03,2011,483292.01439999975,2.1571137914000005e6
La Patera,EDOMX,Metrobus,03,2011,483498.12150000036,2.1565658104e6
Poniente 146,Azcapotzalco,Metrobus,03,2011,483642.76489999983,2.1561587409000006e6
Montevideo,Gustavo A. Madero,Metrobus,03,2011,483792.2117999997,2.1557292369999997e6
Poniente 134,Gustavo A. Madero,Metrobus,03,2011,483926.83469999954,2.1553508669000007e6
Poniente 128,Azcapotzalco,Metrobus,03,2011,484054.01999999955,2.1550031252999995e6
Magdalena de las Salinas,Gustavo A. Madero,Metrobus,03,2011,484273.44290000014,2.1543761435000002e6
Coltongo,Azcapotzalco,Metrobus,03,2011,484433.8362999996,2.1539300581e6
Cuitláhuac,Gustavo A. Madero,Metrobus,03,2011,484660.7165999999,2.1532990527999997e6
