AÑO,ALCALDIA,POBLACION
1970,Azcapotzalco,534554
1970,Coyoacán,339446
1970,Cuajimalpa,36200
1970,Gustavo A. Madero,1186107
1970,Iztacalco,477331
1970,Iztapalapa,522095
1970,Magdalena Contreras,75429
1970,Milpa Alta,33694
1970,Álvaro Obregón,456709
1970,Tláhuac,62419
1970,Tlalpan,130719
1970,Xochimilco,116493
1980,Álvaro Obregón,639213
1980,Azcapotzalco,601524
1980,Benito Juárez,544882
1980,Coyoacán,597129
1980,Cuajimalpa,91200
1980,Cuauhtémoc,814983
1980,Gustavo A. Madero,1513360
1980,Iztacalco,570377
1980,Iztapalapa,1262354
1980,Magdalena Contreras,173105
1980,Miguel Hidalgo,543062
1980,Milpa Alta,53616
1980,Tláhuac,146923
1980,Tlalpan,368974
1980,Venustiano Carranza,692896
1980,Xochimilco,217481
