NOMBRE,ALCALDIA,SISTEMA,LINEA,AÑO,lng,lat
Xochimilco,Xochimilco,STE Tren ligero,01,1988,488646.3427098703,2.129539511344239e6
Francisco Goitia,Xochimilco,STE Tren ligero,01,1988,488310.0924938216,2.1296816214429084e6
Huichapan,Xochimilco,STE Tren ligero,01,1988,487533.5431548311,2.130093344618525e6
La Noria,Xochimilco,STE Tren ligero,01,1988,486806.99199529283,2.1304770408230806e6
Tepepan,Xochimilco,STE Tren ligero,01,1988,486008.542806913,2.1317628379879314e6
Periférico,Tlalpan,STE Tren ligero,01,1988,485322.4530463232,2.1321167751475023e6
Xomalí,Tlalpan,STE Tren ligero,01,1988,484582.22777169175,2.132779858860067e6
Huipulco,Tlalpan,STE Tren ligero,01,1988,484167.9644933224,2.1337519463727586e6
Estadio Azteca,Tlalpan,STE Tren ligero,01,1986,484549.99126711185,2.1342315134800915e6
El Vergel,Coyoacán,STE Tren ligero,01,1986,484970.14471449755,2.134825570963501e6
Textitlán,Coyoacán,STE Tren ligero,01,1986,485231.7773526674,2.1354189484167728e6
Registro Federal,Coyoacán,STE Tren ligero,01,1986,485419.8639333127,2.136014352515113e6
Nezahualpilli,Coyoacán,STE Tren ligero,01,1986,485486.9743102876,2.1366609835541854e6
Xotepingo,Coyoacán,STE Tren ligero,01,1986,485366.35213563463,2.1370702531479085e6
La Virgen,Coyoacán,STE Tren ligero,01,1986,485229.4392603971,2.137536696336334e6
Ciudad Jardín,Coyoacán,STE Tren ligero,01,1986,485099.3224862686,2.1379821623951914e6
Las Torres,Coyoacán,STE Tren ligero,01,1986,484934.3736280355,2.1385456224072385e6
Tasqueña,Coyoacán,STE Tren ligero,01,1986,485245.0426858831,2.1388615823577307e6
