NOMBRE,ALCALDIA,SISTEMA,LINEA,lng,lat
Central del Norte,Gustavo A. Madero,STE Trolebús,01,485267.34594351857,2.153881996701361e6
CCH Vallejo,Gustavo A. Madero,STE Trolebús,01,485080.80904211017,2.15438002518362e6
Instituto del Petróleo N,Gustavo A. Madero,STE Trolebús,01,484890.66416371305,2.154900032643422e6
Montevideo,Gustavo A. Madero,STE Trolebús,01,484710.935941712,2.155379855527951e6
U.H. Lindavista-Vallejo,Gustavo A. Madero,STE Trolebús,01,484650.91273538524,2.155292782218303e6
Instituto del Petróleo S,Gustavo A. Madero,STE Trolebús,01,484799.6529471396,2.1548986161915706e6
Poniente 128,Gustavo A. Madero,STE Trolebús,01,484863.1494547744,2.1547254230208253e6
Tesoreria,Gustavo A. Madero,STE Trolebús,01,484929.2088850882,2.15454633504555e6
Poniente 118,Gustavo A. Madero,STE Trolebús,01,485133.0838162303,2.1540034645193387e6
Poniente 112,Gustavo A. Madero,STE Trolebús,01,485266.28830954776,2.153647805166905e6
Poniente 106,Gustavo A. Madero,STE Trolebús,01,485441.1032285171,2.1531841049721143e6
La Raza,Gustavo A. Madero,STE Trolebús,01,485649.9050775723,2.1527983712265687e6
Río Consulado,Gustavo A. Madero,STE Trolebús,01,485560.4674131148,2.15235150122948e6
Felipe Villanueva,Cuauhtémoc,STE Trolebús,01,485556.84642805456,2.1521544973118e6
Chopin,Cuauhtémoc,STE Trolebús,01,485544.348623325,2.1518614767424376e6
Granados,Cuauhtémoc,STE Trolebús,01,485525.59198047867,2.15146262901091e6
Manuel González,Cuauhtémoc,STE Trolebús,01,485479.57356844144,2.1512008471246175e6
Flores Magón,Cuauhtémoc,STE Trolebús,01,485466.23528557486,2.1506472461885423e6
Luna,Cuauhtémoc,STE Trolebús,01,485431.7993455356,2.150403712493794e6
República de Perú,Cuauhtémoc,STE Trolebús,01,485297.2105505651,2.1495125096052634e6
Bellas Artes,Cuauhtémoc,STE Trolebús,01,485251.4436062893,2.14920167062973e6
Independencia,Cuauhtémoc,STE Trolebús,01,485182.19690706785,2.148748236747931e6
República de Ururguay,Cuauhtémoc,STE Trolebús,01,485156.2642435805,2.1485686349622826e6
Vizcaínas,Cuauhtémoc,STE Trolebús,01,485124.0222934723,2.148330654586417e6
Salto del Agua,Cuauhtémoc,STE Trolebús,01,485093.47108880075,2.1481241369069056e6
