lat,lng,ALCALDIA,us_dscr
19.4028057476,-99.1523039029,Benito Juárez,Habitacional
19.3860945423,-99.1461700476,Benito Juárez,Habitacional
19.2325554516,-99.2006225019,Tlalpan,Rescate EcolÃ?Â³gico
19.3920725202,-99.1817864554,Benito Juárez,Habitacional
19.3777718837,-99.1364579951,Benito Juárez,Habitacional
19.2696046643,-99.1825037877,Tlalpan,Habitacional
19.2696665913,-99.1849497176,Tlalpan,Habitacional Rural
19.3883359011,-99.1382008119,Benito Juárez,Habitacional
19.3925614146,-99.175210998,Benito Juárez,Habitacional con Comercio
19.3883001503,-99.1521932726,Benito Juárez,Habitacional
19.3923973951,-99.148691866,Benito Juárez,Habitacional
19.3921788984,-99.1434552613,Benito Juárez,Habitacional
19.2746059157,-99.1545702559,Tlalpan,Habitacional
19.2959034328,-99.1409909301,Tlalpan,Habitacional
19.3888596401,-99.1853362479,Benito Juárez,Habitacional
19.375914637,-99.1777679232,Benito Juárez,Habitacional
19.3693323929,-99.1842301059,Benito Juárez,Habitacional
19.3904870333,-99.1584435124,Benito Juárez,Habitacional
19.3979145124,-99.138830451,Benito Juárez,Habitacional
19.3925311736,-99.1420615003,Benito Juárez,Habitacional
19.2980580912,-99.2047350222,Tlalpan,Habitacional
19.3971489015,-99.1333971463,Benito Juárez,Habitacional
19.2724160452,-99.2402321169,Tlalpan,Habitacional
19.2706186937,-99.2355745014,Tlalpan,Habitacional
19.3727342162,-99.1517831497,Benito Juárez,Habitacional
19.3811562208,-99.1614600639,Benito Juárez,Habitacional
19.3860416015,-99.1692526286,Benito Juárez,Habitacional
19.2766664412,-99.2358164122,Tlalpan,Habitacional con Comercio en Planta Baja
19.3821081136,-99.1387839634,Benito Juárez,Habitacional
19.3726560905,-99.1828427486,Benito Juárez,Habitacional con Servicios
19.3801592245,-99.1713840634,Benito Juárez,Habitacional
19.2325976012,-99.1635154682,Tlalpan,Habitacional Rural de Baja Densidad
19.3956293623,-99.135072862,Benito Juárez,Habitacional
19.3737726011,-99.1545824384,Benito Juárez,Habitacional
19.3890641069,-99.1673908516,Benito Juárez,Habitacional
19.2721780301,-99.1570416996,Tlalpan,Habitacional
19.3610217346,-99.1475421425,Benito Juárez,Habitacional
19.3937128682,-99.1880958123,Benito Juárez,Habitacional
19.3797040653,-99.1789499725,Benito Juárez,Habitacional con Comercio
19.2455411816,-99.1547317463,Tlalpan,Habitacional Rural
19.2478174896,-99.1887082542,Tlalpan,Habitacional Rural Tlalpuente
19.3772078099,-99.1577746896,Benito Juárez,Habitacional
19.2773285669,-99.1845617943,Tlalpan,Equipamiento PÃ?Âºblico y Privado
19.3881691655,-99.1792031103,Benito Juárez,Habitacional
19.3610491444,-99.155689848,Benito Juárez,Habitacional
19.3923730299,-99.1331097848,Benito Juárez,Habitacional
