CONTAMINANTE,AÑO,MEAN_CONT,ALCALDIA,POBLACION,EST_V,AUTOMOVILES
CO,1990,4.872083333333334,CDMX,8.239395e6,143.0,1768683
NO2,1990,0.0,CDMX,8.239395e6,143.0,1768683
NOX,1990,0.0,CDMX,8.239395e6,143.0,1768683
O3,1990,0.0,CDMX,8.239395e6,143.0,1768683
SO2,1990,0.0,CDMX,8.239395e6,143.0,1768683
CO,1991,5.491515700483091,CDMX,8.2893174e6,153.0,1727836
NO2,1991,0.0,CDMX,8.2893174e6,153.0,1727836
NOX,1991,0.0,CDMX,8.2893174e6,153.0,1727836
O3,1991,0.0,CDMX,8.2893174e6,153.0,1727836
SO2,1991,0.0,CDMX,8.2893174e6,153.0,1727836
CO,1992,5.244615384615383,CDMX,8.3392398e6,153.0,2019494
NO2,1992,0.0,CDMX,8.3392398e6,153.0,2019494
NOX,1992,0.0,CDMX,8.3392398e6,153.0,2019494
O3,1992,0.0,CDMX,8.3392398e6,153.0,2019494
SO2,1992,0.0,CDMX,8.3392398e6,153.0,2019494
CO,1993,2.7717013888888884,CDMX,8.3891622e6,153.0,2314499
NO2,1993,0.0,CDMX,8.3891622e6,153.0,2314499
NOX,1993,0.0,CDMX,8.3891622e6,153.0,2314499
O3,1993,0.0,CDMX,8.3891622e6,153.0,2314499
SO2,1993,0.0,CDMX,8.3891622e6,153.0,2314499
CO,1994,3.081609195402299,CDMX,8.4390846e6,172.0,1814187
NO2,1994,0.0,CDMX,8.4390846e6,172.0,1814187
NOX,1994,0.0,CDMX,8.4390846e6,172.0,1814187
O3,1994,0.0,CDMX,8.4390846e6,172.0,1814187
SO2,1994,0.0,CDMX,8.4390846e6,172.0,1814187
CO,1995,2.343434343434342,CDMX,8.489007e6,172.0,1919264
NO2,1995,0.0,CDMX,8.489007e6,172.0,1919264
NOX,1995,0.0,CDMX,8.489007e6,172.0,1919264
O3,1995,0.0,CDMX,8.489007e6,172.0,1919264
SO2,1995,0.0,CDMX,8.489007e6,172.0,1919264
PM10,1995,0.0,CDMX,8.489007e6,172.0,1919264
CO,1996,2.3197023809523802,CDMX,8.5122534e6,172.0,1865359
NO2,1996,0.0,CDMX,8.5122534e6,172.0,1865359
NOX,1996,0.0,CDMX,8.5122534e6,172.0,1865359
O3,1996,0.0,CDMX,8.5122534e6,172.0,1865359
SO2,1996,13.629166666666666,CDMX,8.5122534e6,172.0,1865359
PM10,1996,0.0,CDMX,8.5122534e6,172.0,1865359
